source_task,arm,L,T,zeta,lam,N_c,R_index,dtau_mult,resample_scheme,seed,status,wall_s,n_steps,cmi_weighted_mean,cmi_unweighted_mean,gess_final,ess_cum_final,n_distinct_anc_final,brentq_fallbacks,result_path,exact_compatible
TASK-2026-09-01-SMCRUCHE-READY,arm1,96,96.0,0.35,0.3032,256,15,6.0,systematic,1296031,ok,2214.21,922,0.20857145113837916,0.20857145113837916,1.0,253.95047069245769,1,0,research/tasks/active/TASK-2026-09-01-SMCRUCHE-READY/arm1/results/ARM1_00047.json,yes
TASK-2026-09-01-SMCRUCHE-READY,arm1,96,96.0,0.35,0.3032,256,16,6.0,systematic,1296032,ok,2269.26,922,0.22377919919332848,0.22377919919332848,1.0,253.9135462644303,1,0,research/tasks/active/TASK-2026-09-01-SMCRUCHE-READY/arm1/results/ARM1_00048.json,yes
TASK-2026-09-01-SMCRUCHE-READY,arm1,96,96.0,0.35,0.3032,256,17,6.0,systematic,1296033,ok,2234.16,922,0.35667617008618746,0.35667617008618746,1.0,254.1411825958557,1,0,research/tasks/active/TASK-2026-09-01-SMCRUCHE-READY/arm1/results/ARM1_00049.json,yes
TASK-2026-09-01-SMCRUCHE-READY,arm1,96,96.0,0.35,0.3032,256,18,6.0,systematic,1296034,ok,2405.5,922,0.40867346125477816,0.40867346125477816,1.0,254.37044303489333,1,0,research/tasks/active/TASK-2026-09-01-SMCRUCHE-READY/arm1/results/ARM1_00050.json,yes
TASK-2026-09-01-SMCRUCHE-READY,arm1,96,96.0,0.35,0.3032,256,19,6.0,systematic,1296035,ok,2456.29,922,0.36210032016966365,0.36210032016966365,1.0,254.4799527429125,1,0,research/tasks/active/TASK-2026-09-01-SMCRUCHE-READY/arm1/results/ARM1_00051.json,yes
TASK-2026-09-01-SMCRUCHE-READY,arm1,96,96.0,0.35,0.3032,256,20,6.0,systematic,1296036,ok,2452.5,922,0.3663171948996064,0.3663171948996064,1.0,254.0226770131089,1,0,research/tasks/active/TASK-2026-09-01-SMCRUCHE-READY/arm1/results/ARM1_00052.json,yes
TASK-2026-09-01-SMCRUCHE-READY,arm1,96,96.0,0.35,0.3032,256,21,6.0,systematic,1296037,ok,2463.34,922,0.3544491797824115,0.3544491797824115,1.0,254.02226411102075,1,0,research/tasks/active/TASK-2026-09-01-SMCRUCHE-READY/arm1/results/ARM1_00053.json,yes
TASK-2026-09-01-SMCRUCHE-READY,arm1,96,96.0,0.35,0.3032,256,22,6.0,systematic,1296038,ok,2425.42,922,0.333411115667503,0.333411115667503,1.0,253.84206834256017,1,0,research/tasks/active/TASK-2026-09-01-SMCRUCHE-READY/arm1/results/ARM1_00054.json,yes
TASK-2026-09-01-SMCRUCHE-READY,arm1,96,96.0,0.35,0.3032,256,23,6.0,systematic,1296039,ok,2445.16,922,0.2020640936739596,0.2020640936739596,1.0,254.31849789150982,1,0,research/tasks/active/TASK-2026-09-01-SMCRUCHE-READY/arm1/results/ARM1_00055.json,yes
TASK-2026-09-01-SMCRUCHE-READY,arm1,96,96.0,0.35,0.3032,256,24,6.0,systematic,1296040,ok,2341.74,922,0.2984492821051409,0.2984492821051409,1.0,254.1209072862972,1,0,research/tasks/active/TASK-2026-09-01-SMCRUCHE-READY/arm1/results/ARM1_00056.json,yes
