dataset,source_file,r_alpha_over_w,git_commit,L,lambda,zeta,real,alpha,w,T,N_c,dtau,theta_hat,S_mean,S_std,eff_sample_size,n_T_mean,n_distinct_ancestors,CMI_mean,CMI_std,B_L_mean,B_L_std,S_AB_mean,wall_s,status
refine,pps/refine/L128_z0.350_lam0.2810/real008.json,0.3908205841446454,9b617fad03ded5737e9f1bf1610ffeb2a50a0996,128,0.281,0.35,8,0.281,0.719,128.0,128,0.1681284501359038,-9.559736379058156,2.72829845842557,0.3787605281635586,125.50859691398058,0.038096907936333205,1,0.5167368093879279,0.15940968092520622,1.4132817695845732,0.5942126312518545,2.65044463253764,3551.925318479538,ok
refine,pps/refine/L128_z0.350_lam0.2810/real009.json,0.3908205841446454,9b617fad03ded5737e9f1bf1610ffeb2a50a0996,128,0.281,0.35,9,0.281,0.719,128.0,128,0.1681284501359038,-9.386156145930464,2.648506096467168,0.2840510919054512,125.88464659824125,0.03713919275145704,1,0.33507399963315415,0.1005391249005743,0.8242758873442165,0.36934925661313994,2.372137056628957,3479.403608083725,ok
refine,pps/refine/L128_z0.350_lam0.2810/real010.json,0.3908205841446454,9b617fad03ded5737e9f1bf1610ffeb2a50a0996,128,0.281,0.35,10,0.281,0.719,128.0,128,0.1681284501359038,-9.233428209583911,2.561204591899017,0.2387381956109577,125.56955561278342,0.0363097168962059,1,0.6415371646335394,0.27217467235946335,1.9289742178180875,1.08058443410077,2.9095361252754945,3467.142838716507,ok
refine,pps/refine/L128_z0.350_lam0.2810/real011.json,0.3908205841446454,9b617fad03ded5737e9f1bf1610ffeb2a50a0996,128,0.281,0.35,11,0.281,0.719,128.0,128,0.1681284501359038,-9.504881060182662,2.767366825856452,0.3386201810822825,124.77569508830761,0.037591680181074,1,0.7210606848410781,0.2142413413268662,2.285880389405907,0.9146601232402124,3.1144112816717318,3529.745614528656,ok
refine,pps/refine/L128_z0.350_lam0.2923/real000.json,0.4130281192595733,9b617fad03ded5737e9f1bf1610ffeb2a50a0996,128,0.2923,0.35,0,0.2923,0.7077,128.0,128,0.16162878716451923,-9.690776843174234,2.8475848569003595,0.18370854171059564,125.86235279626796,0.03818235934262387,1,0.4065816134202973,0.1885451218554948,1.1676841493436063,0.6555623001307379,2.802581649482132,3566.6231598854065,ok
refine,pps/refine/L128_z0.350_lam0.2923/real001.json,0.4130281192595733,9b617fad03ded5737e9f1bf1610ffeb2a50a0996,128,0.2923,0.35,1,0.2923,0.7077,128.0,128,0.16162878716451923,-9.62007448204727,2.6735687842919633,0.23503486788540368,125.26836681947468,0.03808689162399898,1,0.49143439995309934,0.12335492341011009,1.2440064027984543,0.4517328633057328,2.4921962052334603,3625.498121738434,ok
refine,pps/refine/L128_z0.350_lam0.2923/real002.json,0.4130281192595733,9b617fad03ded5737e9f1bf1610ffeb2a50a0996,128,0.2923,0.35,2,0.2923,0.7077,128.0,128,0.16162878716451923,-9.728361433105754,2.5656880696085342,0.409208527548233,124.89184234851658,0.03850781379346763,1,0.6048225484032448,0.21332699182594592,1.5148401501762607,0.802196192122297,2.404339739432352,3609.708752155304,ok
refine,pps/refine/L128_z0.350_lam0.2923/real003.json,0.4130281192595733,9b617fad03ded5737e9f1bf1610ffeb2a50a0996,128,0.2923,0.35,3,0.2923,0.7077,128.0,128,0.16162878716451923,-9.605278869279726,2.427914566041483,0.23834195733691949,125.31240437325724,0.03805925700982449,1,0.4490853337963124,0.107751214425896,0.9562314825460995,0.3442330452901443,2.1095765447495456,3576.615562438965,ok
refine,pps/refine/L128_z0.350_lam0.2923/real004.json,0.4130281192595733,9b617fad03ded5737e9f1bf1610ffeb2a50a0996,128,0.2923,0.35,4,0.2923,0.7077,128.0,128,0.16162878716451923,-9.706029478775237,2.816759080644606,0.2546192732126488,126.05802807328602,0.03868585547019357,1,0.5615438126182877,0.16010969072196368,1.86491953780545,0.6191433329841666,3.341048878295723,3617.1790840625763,ok
refine,pps/refine/L128_z0.350_lam0.2923/real005.json,0.4130281192595733,9b617fad03ded5737e9f1bf1610ffeb2a50a0996,128,0.2923,0.35,5,0.2923,0.7077,128.0,128,0.16162878716451923,-9.509073597652582,2.235433057943621,0.17180208357534524,125.0659424042506,0.0366485029649829,1,0.31601612197706475,0.12709998590048105,0.7811447815585753,0.3938730067829821,2.4115295656837263,3564.552685022354,ok
