source_task,source_arm,source_file,L,T,zeta,lam,N_c,dtau_mult,resample_scheme,seed,status,wall_s,n_steps,cmi_weighted_mean,cmi_within_var,n_nonfinite,n_distinct_anc_final,gess_final,ess_cum_final,ess_frac_mean,brentq_fallbacks
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00041.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300041,ok,1846.24,395,0.3804436694615626,0.04272924531502489,0,1,1.0,1013.1451767797562,0.9886066589754403,0
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00042.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300042,ok,1859.14,395,0.386102847937124,0.050593595619794623,0,1,1.0,1012.2435188259448,0.9889119585381149,0
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00043.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300043,ok,1854.23,395,0.38001925113834,0.04900275819200098,0,3,2.25241550563439,1012.5650054851156,0.9885431184039086,0
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00044.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300044,ok,1843.75,395,0.3548640790188411,0.04370105888059873,0,2,1.0520688686438977,1011.9077142779594,0.9886458131212941,0
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00045.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300045,ok,1839.54,395,0.3721091586618196,0.05311914445798665,0,3,2.577988012056783,1012.4795901698379,0.9888304457064198,0
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00046.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300046,ok,1828.97,395,0.4181482072242054,0.04150100138126217,0,1,1.0,1012.2881752672819,0.9884754373306612,0
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00047.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300047,ok,1830.88,395,0.4116357845981149,0.04537882621016307,0,1,1.0,1012.5415902625433,0.9883411726399373,0
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00048.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300048,ok,1850.17,395,0.42187869954505053,0.06276475107911127,0,3,1.251717181363479,1012.17047877443,0.9889005341685327,0
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00049.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300049,ok,1838.01,395,0.3651321511754383,0.0448415349233484,0,2,1.0177325959472234,1012.6727882345424,0.988803593745109,0
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00050.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300050,ok,1836.22,395,0.4392913850570817,0.045164394077745446,0,2,1.1218244025394082,1013.5364531766894,0.9886950727225878,0
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00051.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300051,ok,1837.71,395,0.36004088769191767,0.03799689282826209,0,4,1.4735013813513353,1013.3935107631971,0.9886212485649225,0
