L,zeta,lambda,nreal,CMI,CMI_se,B_L,B_L_se
80,0.2,0.3578,12,0.06122462601544324,0.003367463749104622,0.0995447246475537,0.005141263035903649
80,0.25,0.15,12,1.3807062352889468,0.057029127812420005,5.161834029577398,0.270269292442106
80,0.25,0.1875,12,0.8981325386593921,0.05428524313715223,2.9526726144466746,0.21591163097098617
80,0.25,0.225,12,0.6442737602164571,0.026949561625717367,1.686309445706133,0.0860888023199049
80,0.25,0.2625,12,0.3484489673466474,0.018577842205116657,0.7570028519440776,0.04702895590832916
80,0.25,0.3,12,0.23209570218168904,0.01341453904489126,0.44326586895431835,0.02929844719535207
80,0.25,0.35,12,0.10852367521630707,0.0082475177534976,0.1854561569318263,0.014974594268874293
80,0.25,0.4,12,0.02313794508390026,0.0020150322498444576,0.035600310749575315,0.003236822374573672
80,0.3,0.1643,12,1.3583294072632979,0.05286929227766184,5.623236159152813,0.2937973391689199
80,0.3,0.2054,12,0.9470932176094268,0.06386415777443248,3.061542373195545,0.2523888729783431
80,0.3,0.2465,12,0.5612781517126751,0.03076781966783136,1.4242100378069136,0.09439488772351752
80,0.3,0.2876,12,0.34533055343239494,0.014072774500063029,0.7327587350611893,0.03421897143834874
80,0.3,0.3286,12,0.19458671635928462,0.013666154805068475,0.37203681494373847,0.028749509276501804
80,0.3,0.3834,12,0.056486492572206504,0.004041880388515506,0.09403327458874859,0.006084309870513837
80,0.3,0.4382,12,0.011625840552241905,0.0017463125735576153,0.01735606272208681,0.0024619222823204405
80,0.35,0.1775,12,1.5075459401889673,0.05801896160373195,6.718801974386363,0.42271963151297454
80,0.35,0.2219,12,1.1153805852491816,0.06350486108558268,4.0778047814849865,0.30197622845093886
80,0.35,0.2662,12,0.6198151521254708,0.03740141628719281,1.6699587315319857,0.13949056929757234
80,0.35,0.3106,12,0.3378714200720949,0.02438117108072056,0.75837882457738,0.06413150146198547
80,0.35,0.355,12,0.18525445834865406,0.015808245322035754,0.34434161084508347,0.028814021841095064
80,0.35,0.4141,12,0.03407532737849928,0.005679758149073465,0.054167298894451994,0.009105591053223686
80,0.35,0.4733,12,0.004176001160137726,0.00044341495930755895,0.005921999413872631,0.0006118354071001104
80,0.4,0.1897,12,1.6509435377225097,0.059878631650327,7.84587330589114,0.38634687051529637
80,0.4,0.2372,12,1.1681125504549013,0.06405090157681562,4.39884161138572,0.3122409348997428
80,0.4,0.2846,12,0.6349842415171715,0.03963493763913108,1.7712320102422527,0.15300486312824188
80,0.4,0.332,12,0.3469517286170049,0.020731406856018084,0.732833092572896,0.047543717882474974
80,0.4,0.3795,12,0.12775802495833652,0.01318041039501976,0.23867333942662175,0.025698317248142984
80,0.4,0.4427,12,0.027470209596433995,0.005263295580627164,0.0439917151142629,0.008732560490966958
80,0.4,0.506,12,0.0016263984038804467,0.0004698311765009891,0.0022340397673843897,0.0005912614606021757
80,0.5,0.2121,12,1.7965741721162454,0.04596957489681462,9.248735326111037,0.29968026851382956
80,0.5,0.2652,12,1.3024699203566796,0.04196049665878437,5.297516021251309,0.25489605442916546
80,0.5,0.3182,12,0.7429597514651194,0.04859440722656424,2.246159108445009,0.18414146180225632
